Date,Open,High,Low,Close,Adj Close,Volume
2017-01-11,37520.000000,38560.000000,37420.000000,38280.000000,33369.289063,12018150
2017-01-12,38000.000000,38800.000000,37980.000000,38800.000000,33822.582031,11669150
2017-01-13,38100.000000,38320.000000,37460.000000,37460.000000,32654.472656,15954450
2017-01-16,36860.000000,37820.000000,36320.000000,36660.000000,31957.105469,16611500
2017-01-17,36580.000000,37460.000000,36580.000000,36960.000000,32218.613281,8150700
2017-01-18,37040.000000,37500.000000,36620.000000,36940.000000,32201.187500,8875400
2017-01-19,37720.000000,37920.000000,37020.000000,37480.000000,32671.912109,9418900
2017-01-20,37120.000000,37420.000000,36880.000000,37200.000000,32427.837891,9185000
2017-01-23,37200.000000,38060.000000,37000.000000,38060.000000,33177.507813,8810400
2017-01-24,38120.000000,38580.000000,37880.000000,38160.000000,33264.683594,11048750
2017-01-25,38340.000000,39400.000000,38320.000000,39400.000000,34345.609375,13433850
2017-01-26,39420.000000,40000.000000,39420.000000,39900.000000,34781.468750,15214500
2017-01-31,39900.000000,39900.000000,39460.000000,39460.000000,34397.910156,17992200
2017-02-01,39540.000000,39660.000000,39040.000000,39120.000000,34101.523438,14150400
2017-02-02,39600.000000,39660.000000,39200.000000,39360.000000,34310.742188,15029300
2017-02-03,39400.000000,39500.000000,39180.000000,39460.000000,34397.910156,10386350
2017-02-06,39580.000000,39660.000000,39140.000000,39560.000000,34485.078125,8860700
2017-02-07,39560.000000,39580.000000,38760.000000,38820.000000,33840.007813,14041800
2017-02-08,38740.000000,38780.000000,38200.000000,38400.000000,33473.894531,17092950
2017-02-09,38780.000000,38840.000000,38220.000000,38400.000000,33473.894531,13694150
2017-02-10,38400.000000,38760.000000,38300.000000,38360.000000,33439.023438,11020750
2017-02-13,37740.000000,38060.000000,37720.000000,37960.000000,33090.335938,11102050
2017-02-14,37960.000000,38260.000000,37320.000000,37580.000000,32759.089844,13124150
2017-02-15,37080.000000,37960.000000,37080.000000,37720.000000,32881.125000,14191550
2017-02-16,37800.000000,38360.000000,37780.000000,38020.000000,33142.640625,10226350
2017-02-17,37560.000000,38040.000000,37280.000000,37860.000000,33003.164063,15377450
2017-02-20,38220.000000,38780.000000,38160.000000,38660.000000,33700.542969,7485800
2017-02-21,38540.000000,39560.000000,38420.000000,38940.000000,33944.617188,10562600
2017-02-22,39000.000000,39340.000000,38980.000000,39300.000000,34258.441406,8539450
2017-02-23,39020.000000,39440.000000,39020.000000,39180.000000,34153.835938,10217300
2017-02-24,38960.000000,39100.000000,38060.000000,38220.000000,33316.984375,9296850
2017-02-27,38020.000000,38140.000000,37700.000000,38060.000000,33177.507813,9033700
2017-02-28,38060.000000,38760.000000,37960.000000,38440.000000,33508.765625,15088700
2017-03-02,38420.000000,39860.000000,38420.000000,39720.000000,34624.558594,21249800
2017-03-03,39340.000000,39720.000000,39160.000000,39620.000000,34537.386719,12708700
2017-03-06,39220.000000,40220.000000,39220.000000,40080.000000,34938.378906,12234850
2017-03-07,39800.000000,40320.000000,39800.000000,40200.000000,35042.980469,10553250
2017-03-08,40200.000000,40620.000000,40140.000000,40200.000000,35042.980469,12140950
2017-03-09,40200.000000,40300.000000,40020.000000,40200.000000,35042.980469,14372250
2017-03-10,39960.000000,40420.000000,39860.000000,40180.000000,35025.550781,10227800
2017-03-13,40040.000000,40980.000000,40040.000000,40600.000000,35391.660156,7424100
2017-03-14,40620.000000,41540.000000,40500.000000,41360.000000,36054.175781,11325050
2017-03-15,40800.000000,41440.000000,40800.000000,41400.000000,36089.042969,9587850
2017-03-16,41800.000000,42180.000000,41540.000000,41840.000000,36472.589844,9933150
2017-03-17,41800.000000,42500.000000,41720.000000,42400.000000,36960.753906,12602300
2017-03-20,42000.000000,42120.000000,41740.000000,41900.000000,36524.902344,10250050
2017-03-21,41780.000000,42680.000000,41760.000000,42560.000000,37100.230469,14220150
2017-03-22,41600.000000,42460.000000,41580.000000,42460.000000,37013.058594,16427250
2017-03-23,42200.000000,42360.000000,41700.000000,41800.000000,36437.730469,15397100
2017-03-24,41600.000000,41980.000000,41080.000000,41500.000000,36176.207031,12808150
2017-03-27,41200.000000,41880.000000,41180.000000,41200.000000,35914.691406,12177650
2017-03-28,41560.000000,41840.000000,41380.000000,41480.000000,36158.769531,8216250
2017-03-29,41740.000000,41960.000000,41580.000000,41780.000000,36420.289063,10093250
2017-03-30,41880.000000,42440.000000,41880.000000,41980.000000,36717.675781,8204000
2017-03-31,41820.000000,42020.000000,41200.000000,41200.000000,36035.441406,10500300
2017-04-03,41400.000000,41720.000000,41300.000000,41440.000000,36245.359375,9579400
2017-04-04,41600.000000,42180.000000,41520.000000,42080.000000,36805.140625,12255500
2017-04-05,41900.000000,42240.000000,41700.000000,42140.000000,36857.609375,10699700
2017-04-06,42000.000000,42080.000000,41600.000000,41840.000000,36595.218750,9683400
2017-04-07,41800.000000,41820.000000,41160.000000,41600.000000,36385.316406,10021000
2017-04-10,41940.000000,41940.000000,41500.000000,41940.000000,36682.687500,7141350
2017-04-11,41940.000000,41940.000000,41580.000000,41600.000000,36385.316406,7172900
2017-04-12,41860.000000,41940.000000,41700.000000,41900.000000,36647.703125,8274900
2017-04-13,41660.000000,42460.000000,41660.000000,42420.000000,37102.519531,9040800
2017-04-14,42160.000000,42260.000000,41760.000000,42020.000000,36752.656250,5462850
2017-04-17,42000.000000,42080.000000,41520.000000,41560.000000,36350.324219,5224750
2017-04-18,41680.000000,41820.000000,41280.000000,41500.000000,36297.843750,6860650
2017-04-19,41300.000000,41420.000000,40900.000000,40900.000000,35773.062500,11762900
2017-04-20,40580.000000,40800.000000,40080.000000,40280.000000,35230.777344,21148850
2017-04-21,40480.000000,41400.000000,40480.000000,40760.000000,35650.605469,15130500
2017-04-24,41260.000000,41260.000000,40920.000000,41240.000000,36070.429688,8990150
2017-04-25,41460.000000,42740.000000,41320.000000,42700.000000,37347.417969,19299600
2017-04-26,42700.000000,42800.000000,42520.000000,42800.000000,37434.875000,14794800
2017-04-27,42700.000000,44520.000000,41960.000000,43840.000000,38344.523438,23032250
2017-04-28,45780.000000,45800.000000,44520.000000,44620.000000,39026.734375,22685700
2017-05-02,45500.000000,45500.000000,44760.000000,44900.000000,39271.640625,14068300
2017-05-04,45700.000000,45700.000000,44860.000000,45520.000000,39813.925781,13690100
2017-05-08,45520.000000,47020.000000,45340.000000,47020.000000,41125.894531,19582550
2017-05-10,46160.000000,47220.000000,45600.000000,45600.000000,39883.890625,23410950
2017-05-11,45420.000000,46180.000000,45220.000000,45500.000000,39796.425781,21277850
2017-05-12,45760.000000,46160.000000,45660.000000,45820.000000,40076.316406,9422900
2017-05-15,45620.000000,46280.000000,45620.000000,46100.000000,40321.210938,8001400
2017-05-16,46660.000000,46800.000000,46100.000000,46380.000000,40566.113281,8803750
2017-05-17,46120.000000,46640.000000,46100.000000,46340.000000,40531.136719,7424450
2017-05-18,45740.000000,46000.000000,45540.000000,45940.000000,40181.273438,11160350
2017-05-19,45640.000000,45780.000000,44720.000000,44720.000000,39114.207031,15762350
2017-05-22,45040.000000,45380.000000,44760.000000,45100.000000,39446.566406,17643550
2017-05-23,45400.000000,45580.000000,44900.000000,44920.000000,39289.132813,12607050
2017-05-24,44860.000000,45300.000000,44800.000000,44880.000000,39254.144531,8675400
2017-05-25,45160.000000,45680.000000,44800.000000,45680.000000,39953.863281,13044800
2017-05-26,45600.000000,46460.000000,45540.000000,46080.000000,40303.718750,13613650
2017-05-29,46220.000000,46400.000000,45380.000000,45620.000000,39901.386719,8739550
2017-05-30,45520.000000,45660.000000,44480.000000,44640.000000,39044.230469,12433600
2017-05-31,44580.000000,45020.000000,44400.000000,44700.000000,39096.710938,18669100
2017-06-01,44860.000000,44900.000000,44400.000000,44680.000000,39079.222656,9753500
2017-06-02,45060.000000,45960.000000,45000.000000,45960.000000,40198.765625,12488750
2017-06-05,46040.000000,46360.000000,45720.000000,45940.000000,40181.273438,7599400
2017-06-07,46500.000000,46500.000000,45240.000000,45300.000000,39621.492188,13729400
2017-06-08,45000.000000,45580.000000,45000.000000,45160.000000,39499.050781,13978750
2017-06-09,45680.000000,46440.000000,45600.000000,46100.000000,40321.210938,11732850
2017-06-12,45420.000000,45600.000000,45140.000000,45380.000000,39691.476563,10954300
2017-06-13,45140.000000,45620.000000,45140.000000,45400.000000,39708.957031,8624900
2017-06-14,45800.000000,46060.000000,45240.000000,45360.000000,39673.980469,10166700
2017-06-15,45680.000000,45920.000000,45180.000000,45680.000000,39953.863281,9657000
2017-06-16,45500.000000,45940.000000,45460.000000,45580.000000,39866.402344,17403450
2017-06-19,45580.000000,46560.000000,45560.000000,46560.000000,40723.554688,11303900
2017-06-20,47240.000000,48140.000000,47220.000000,48140.000000,42105.500000,15045000
2017-06-21,47740.000000,48120.000000,47480.000000,47480.000000,41528.238281,9973650
2017-06-22,47960.000000,48080.000000,47720.000000,47960.000000,41948.062500,11455800
2017-06-23,47600.000000,47780.000000,47420.000000,47620.000000,41650.679688,9515100
2017-06-26,47520.000000,48360.000000,47520.000000,48280.000000,42227.945313,8552800
2017-06-27,48220.000000,48400.000000,47900.000000,48300.000000,42245.449219,9616750
2017-06-28,47600.000000,48000.000000,47560.000000,47700.000000,41720.648438,9572500
2017-06-29,48040.000000,48320.000000,47940.000000,47940.000000,42053.992188,8306550
2017-06-30,47500.000000,47620.000000,47100.000000,47540.000000,41703.101563,11877550
2017-07-03,47500.000000,47780.000000,47120.000000,47220.000000,41422.394531,6805550
2017-07-04,47160.000000,47400.000000,46900.000000,47000.000000,41229.410156,7961000
2017-07-05,46820.000000,47680.000000,46780.000000,47580.000000,41738.195313,10640250
2017-07-06,48000.000000,48100.000000,47720.000000,48060.000000,42159.261719,10923050
2017-07-07,47740.000000,48120.000000,47620.000000,47860.000000,41983.824219,8131900
2017-07-10,48500.000000,48900.000000,48320.000000,48660.000000,42685.601563,10792750
2017-07-11,48640.000000,49000.000000,48280.000000,49000.000000,42983.847656,9717800
2017-07-12,49000.000000,50000.000000,48840.000000,49880.000000,43755.792969,9486150
2017-07-13,50080.000000,50940.000000,50040.000000,50560.000000,44352.312500,16034150
2017-07-14,51000.000000,51080.000000,50420.000000,50480.000000,44282.136719,8239000
2017-07-17,50900.000000,51020.000000,50520.000000,50640.000000,44422.488281,8976100
2017-07-18,50420.000000,50880.000000,50360.000000,50840.000000,44597.929688,7084450
2017-07-19,50620.000000,50820.000000,50000.000000,50740.000000,44510.207031,11157500
2017-07-20,50760.000000,51320.000000,50560.000000,51200.000000,44913.738281,8367600
2017-07-21,50860.000000,51160.000000,50520.000000,51080.000000,44808.472656,8449050
2017-07-24,50700.000000,51000.000000,50620.000000,50860.000000,44615.476563,7099750
2017-07-25,50500.000000,50760.000000,49940.000000,50000.000000,43861.074219,10810600
2017-07-26,49600.000000,50020.000000,49300.000000,49840.000000,43720.714844,11224800
2017-07-27,50000.000000,50640.000000,49560.000000,49800.000000,43685.621094,11449500
2017-07-28,49800.000000,49800.000000,47380.000000,47760.000000,41896.093750,26168300
2017-07-31,47420.000000,48240.000000,46920.000000,48200.000000,42282.074219,12701400
2017-08-01,48000.000000,48840.000000,47540.000000,48600.000000,42632.960938,11369500
2017-08-02,49200.000000,49340.000000,48600.000000,49000.000000,42983.847656,7777450
2017-08-03,49000.000000,49000.000000,47120.000000,47780.000000,41913.640625,15540800
2017-08-04,48160.000000,48180.000000,47500.000000,47700.000000,41843.460938,8359200
2017-08-07,47500.000000,48080.000000,47440.000000,47580.000000,41738.195313,7218250
2017-08-08,47980.000000,48260.000000,47480.000000,47720.000000,41861.000000,7979600
2017-08-09,47400.000000,47400.000000,46240.000000,46280.000000,40597.800781,14555400
2017-08-10,46200.000000,46320.000000,45460.000000,45900.000000,40264.464844,22986150
2017-08-11,45120.000000,45300.000000,44220.000000,44620.000000,39141.617188,25407300
2017-08-14,45120.000000,45400.000000,44720.000000,45000.000000,39474.957031,19185600
2017-08-16,46220.000000,46380.000000,46000.000000,46200.000000,40527.632813,21913650
2017-08-17,46960.000000,47300.000000,46740.000000,47040.000000,41264.492188,12415850
2017-08-18,46760.000000,47240.000000,46240.000000,46900.000000,41141.679688,10477950
2017-08-21,47240.000000,47240.000000,46580.000000,46840.000000,41089.058594,5103450
2017-08-22,46820.000000,47160.000000,46700.000000,47000.000000,41229.410156,7381750
2017-08-23,47780.000000,47780.000000,47180.000000,47480.000000,41650.480469,9384700
2017-08-24,47520.000000,47660.000000,47340.000000,47520.000000,41685.558594,8657450
2017-08-25,47880.000000,47880.000000,46720.000000,47020.000000,41246.953125,11243550
2017-08-28,47020.000000,47240.000000,45960.000000,46100.000000,40439.902344,9962100
2017-08-29,45640.000000,46080.000000,45160.000000,46080.000000,40422.359375,12623650
2017-08-30,46380.000000,46400.000000,45960.000000,46200.000000,40527.632813,7513000
2017-08-31,46220.000000,46640.000000,46000.000000,46320.000000,40632.906250,11011700
2017-09-01,46460.000000,46640.000000,46300.000000,46480.000000,40773.250000,10641700
2017-09-04,45780.000000,46360.000000,45500.000000,46040.000000,40387.277344,7943500
2017-09-05,46240.000000,46900.000000,45960.000000,46760.000000,41018.875000,11716100
2017-09-06,46760.000000,47180.000000,46700.000000,47000.000000,41229.410156,10811050
2017-09-07,47000.000000,48220.000000,47000.000000,48120.000000,42211.894531,9676500
2017-09-08,48700.000000,49180.000000,48580.000000,49080.000000,43054.031250,10893000
2017-09-11,49700.000000,50180.000000,49500.000000,49800.000000,43685.621094,10374750
2017-09-12,50200.000000,50220.000000,49140.000000,49600.000000,43510.179688,12029750
2017-09-13,49820.000000,50400.000000,49440.000000,49620.000000,43527.722656,9357000
2017-09-14,50060.000000,50320.000000,49760.000000,50300.000000,44124.242188,14204750
2017-09-15,50300.000000,50560.000000,49860.000000,50400.000000,44211.960938,10757300
2017-09-18,50540.000000,52480.000000,50520.000000,52480.000000,46036.574219,11524950
2017-09-19,52500.000000,52640.000000,51780.000000,52120.000000,45720.781250,9850400
2017-09-20,52120.000000,52500.000000,51840.000000,52220.000000,45808.496094,9292750
2017-09-21,52220.000000,52960.000000,52220.000000,52800.000000,46317.292969,8839800
2017-09-25,53000.000000,53680.000000,53000.000000,53620.000000,47036.613281,9303100
2017-09-26,53620.000000,53620.000000,53620.000000,53620.000000,47036.613281,0
2017-09-27,52000.000000,52200.000000,51500.000000,51680.000000,45334.804688,10797000
2017-09-28,52260.000000,52460.000000,51260.000000,51260.000000,45088.515625,12025450
2017-09-29,51180.000000,51620.000000,50840.000000,51280.000000,45106.109375,12909400
2017-10-10,53360.000000,53640.000000,52800.000000,52800.000000,46443.109375,20519800
2017-10-11,53600.000000,54760.000000,53340.000000,54640.000000,48061.570313,13652150
2017-10-12,54840.000000,55160.000000,54100.000000,54800.000000,48202.316406,13890700
2017-10-13,54540.000000,54840.000000,53780.000000,54000.000000,47498.625000,12601650
2017-10-16,53980.000000,54860.000000,53760.000000,53920.000000,47428.273438,9769950
2017-10-17,54020.000000,55380.000000,54000.000000,54800.000000,48202.316406,10607800
2017-10-18,54820.000000,55240.000000,54040.000000,54760.000000,48167.125000,10110750
2017-10-19,54700.000000,54700.000000,52980.000000,52980.000000,46601.437500,12108700
2017-10-20,52800.000000,54100.000000,52800.000000,53840.000000,47357.886719,8027050
2017-10-23,54600.000000,54640.000000,54000.000000,54300.000000,47762.507813,8311050
2017-10-24,54700.000000,54780.000000,54040.000000,54040.000000,47533.820313,5806050
2017-10-25,54040.000000,54420.000000,53700.000000,53900.000000,47410.664063,5882850
2017-10-26,53720.000000,53900.000000,52400.000000,52400.000000,46091.261719,9776550
2017-10-27,52400.000000,53320.000000,52140.000000,53080.000000,46689.390625,7392500
2017-10-30,53780.000000,54320.000000,53700.000000,54040.000000,47533.820313,8196150
2017-10-31,54060.000000,55440.000000,53500.000000,55080.000000,48448.601563,13381550
2017-11-01,57500.000000,57500.000000,56180.000000,57220.000000,50330.953125,14510250
2017-11-02,57500.000000,57520.000000,56760.000000,57060.000000,50190.222656,10721050
2017-11-03,57060.000000,57140.000000,55860.000000,56380.000000,49592.093750,9935800
2017-11-06,56380.000000,56500.000000,55340.000000,56380.000000,49592.093750,9000950
2017-11-07,56380.000000,56920.000000,55860.000000,56100.000000,49345.800781,7464550
2017-11-08,56100.000000,57060.000000,55860.000000,56760.000000,49926.339844,8520200
2017-11-09,56920.000000,56920.000000,55900.000000,56340.000000,49556.906250,11994050
2017-11-10,55800.000000,56540.000000,55780.000000,56400.000000,49609.675781,6748800
2017-11-13,56400.000000,56800.000000,56100.000000,56380.000000,49592.093750,8806650
2017-11-14,56380.000000,56740.000000,55920.000000,55920.000000,49187.472656,6725000
2017-11-15,55920.000000,56320.000000,55320.000000,55340.000000,48677.300781,8816950
2017-11-16,55440.000000,56000.000000,55400.000000,55780.000000,49064.320313,7640700
2017-11-17,56400.000000,56880.000000,55820.000000,55820.000000,49099.507813,10733150
2017-11-20,55900.000000,55980.000000,55200.000000,55200.000000,48554.152344,9472750
2017-11-21,55400.000000,55840.000000,55280.000000,55280.000000,48624.531250,10324700
2017-11-22,55980.000000,56200.000000,55620.000000,55960.000000,49222.656250,7952950
2017-11-23,55960.000000,55980.000000,55020.000000,55300.000000,48642.109375,6272900
2017-11-24,55300.000000,55500.000000,55180.000000,55460.000000,48782.851563,4536200
2017-11-27,55360.000000,55360.000000,52640.000000,52640.000000,46302.371094,18128900
2017-11-28,52700.000000,53280.000000,51720.000000,53280.000000,46865.316406,13499400
2017-11-29,53200.000000,53240.000000,52500.000000,52600.000000,46267.187500,9590250
2017-11-30,50800.000000,51860.000000,50200.000000,50800.000000,44683.894531,29634150
2017-12-01,50800.000000,51780.000000,50800.000000,50840.000000,44719.078125,12868600
2017-12-04,50840.000000,51340.000000,50020.000000,51340.000000,45158.878906,14865050
2017-12-05,50600.000000,51300.000000,50280.000000,51260.000000,45088.515625,9326550
2017-12-06,51260.000000,51560.000000,50020.000000,50020.000000,43997.800781,10889200
2017-12-07,50040.000000,50980.000000,50020.000000,50740.000000,44631.113281,11065600
2017-12-08,51360.000000,52000.000000,51040.000000,52000.000000,45739.421875,11290450
2017-12-11,52000.000000,52040.000000,51500.000000,51780.000000,45545.906250,8125850
2017-12-12,51820.000000,52100.000000,51660.000000,52100.000000,45827.378906,8765050
2017-12-13,52100.000000,52100.000000,51100.000000,51320.000000,45141.292969,11333700
2017-12-14,51320.000000,52280.000000,51060.000000,51060.000000,44912.585938,20310400
2017-12-15,51240.000000,51480.000000,50520.000000,50620.000000,44525.574219,14928550
2017-12-18,50620.000000,51240.000000,50620.000000,51200.000000,45035.738281,7350250
2017-12-19,51540.000000,52080.000000,51520.000000,51560.000000,45352.390625,11978600
2017-12-21,51000.000000,51060.000000,49100.000000,49140.000000,43223.750000,15624300
2017-12-22,49400.000000,49960.000000,49240.000000,49700.000000,43716.324219,11199650
2017-12-26,49760.000000,50100.000000,48200.000000,48200.000000,42396.925781,16039850
2017-12-27,48960.000000,49560.000000,48460.000000,49360.000000,43808.089844,10743600
2017-12-28,49560.000000,50960.000000,49500.000000,50960.000000,45228.121094,8985450
2018-01-02,51380.000000,51400.000000,50780.000000,51020.000000,45281.367188,8474250
2018-01-03,52540.000000,52560.000000,51420.000000,51620.000000,45813.886719,10013500
2018-01-04,52120.000000,52180.000000,50640.000000,51080.000000,45334.621094,11695450
2018-01-05,51300.000000,52120.000000,51200.000000,52120.000000,46257.644531,9481150
2018-01-08,52400.000000,52520.000000,51500.000000,52020.000000,46168.894531,8383650
2018-01-09,51460.000000,51720.000000,49980.000000,50400.000000,44731.101563,18013600
2018-01-10,50500.000000,50520.000000,48640.000000,48840.000000,43346.574219,18566800
2018-01-11,48200.000000,49260.000000,48020.000000,48240.000000,42814.062500,25123800
2018-01-12,48240.000000,48480.000000,46760.000000,48200.000000,42778.558594,27270450
2018-01-15,48800.000000,48980.000000,47920.000000,48540.000000,43080.312500,10096000
2018-01-16,48760.000000,50140.000000,48620.000000,50000.000000,44376.101563,20389650
2018-01-17,50020.000000,50020.000000,49060.000000,49620.000000,44038.839844,11053050
2018-01-18,50020.000000,50640.000000,49820.000000,49900.000000,44287.351563,14848850
2018-01-19,50380.000000,50380.000000,49040.000000,49320.000000,43772.582031,9219950
2018-01-22,48640.000000,48680.000000,47960.000000,48240.000000,42814.062500,12520900
2018-01-23,48660.000000,49160.000000,48300.000000,49160.000000,43630.582031,13532700
2018-01-24,48860.000000,49700.000000,48560.000000,49340.000000,43790.335938,9550500
2018-01-25,49220.000000,50360.000000,49160.000000,50260.000000,44606.851563,11160350
2018-01-26,50500.000000,50780.000000,49840.000000,50780.000000,45068.371094,10350100
2018-01-29,51200.000000,51480.000000,50900.000000,51220.000000,45458.875000,11838800
2018-01-30,50440.000000,50640.000000,49780.000000,49800.000000,44198.593750,12284550
2018-01-31,50020.000000,54140.000000,49600.000000,49900.000000,44287.351563,64681300
2018-02-01,50620.000000,50960.000000,49720.000000,49820.000000,44216.343750,27609450
2018-02-02,49380.000000,49400.000000,47700.000000,47700.000000,42334.796875,29260350
2018-02-05,46500.000000,48320.000000,46000.000000,47920.000000,42530.058594,28357900
2018-02-06,46600.000000,47920.000000,46580.000000,47420.000000,42086.292969,19406450
2018-02-07,48240.000000,48260.000000,45800.000000,45800.000000,40648.507813,23448050
2018-02-08,46120.000000,46620.000000,45980.000000,46000.000000,40826.011719,23251050
2018-02-09,44440.000000,45180.000000,44420.000000,44700.000000,39672.234375,17465000
2018-02-12,45100.000000,46320.000000,45040.000000,45720.000000,40577.503906,15754950
2018-02-13,46200.000000,48060.000000,46200.000000,47540.000000,42192.796875,18923250
2018-02-14,48080.000000,49100.000000,47940.000000,49000.000000,43488.574219,18905900
2018-02-19,49800.000000,49800.000000,47860.000000,48380.000000,42938.304688,15353450
2018-02-20,48040.000000,48160.000000,47220.000000,47400.000000,42068.539063,10122600
2018-02-21,47280.000000,47580.000000,46840.000000,47280.000000,41962.035156,12880200
2018-02-22,47260.000000,47260.000000,46760.000000,46760.000000,41500.531250,8869950
2018-02-23,46760.000000,47800.000000,46760.000000,47220.000000,41908.792969,12423300
2018-02-26,47280.000000,47560.000000,47080.000000,47380.000000,42050.789063,9560650
2018-02-27,48360.000000,48380.000000,47380.000000,47380.000000,42050.789063,9830550
2018-02-28,47380.000000,48100.000000,47000.000000,47060.000000,41766.785156,15162350
2018-03-02,46580.000000,46800.000000,46000.000000,46020.000000,40843.757813,13265500
2018-03-05,45820.000000,46160.000000,45080.000000,45200.000000,40115.988281,14100950
